학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
순복음총회신학교,사립,충북,449260000,0,545410000,136290000,68640000,67650000,41
순천향대학교,사립,충남,28501380864,2667226000,43959133744,9689436508,5781752520,3907683988,3030
숭실대학교,사립,서울,28208743304,2245337000,47295097252,20181855175,14507896375,5673958800,4875
숭실사이버대학교,사립,서울,9464162237,1034783000,14230790237,2271000982,423050982,1847950000,1043
숭의여자대학교,사립,서울,8195808946,623040854,10915944203,2390087754,1364920820,1025166934,822
신구대학교,사립,경기,17404202025,1944395590,23132255675,6286516748,3660230886,2626285862,2108
신라대학교,사립,부산,21006608940,1101497880,27686176338,6847357244,3665774438,3181582806,2360
신성대학교,사립,충남,8010228488,213396101,10347635940,2864445015,1363145015,1501300000,987
신안산대학교,사립,경기,5510025054,2582200,8942966273,1356723105,755873105,600850000,488
신한대학교,사립,경기,18835101642,2145501786,27399613195,9955525064,7271983513,2683541551,2667
아신대학교,사립,경기,1075821480,1140000,1456549490,1450233247,880333247,569900000,401
아주대학교,사립,경기,20549030008,2202459850,33881462317,19896866614,14163247011,5733619603,4774
아주자동차대학교,사립,충남,894859750,193520000,1758168030,388670000,203570000,185100000,127
안동과학대학교,사립,경북,6214318865,15572000,8206602093,1670565751,684415751,986150000,636
안양대학교,사립,경기,12709649900,1219359000,18027042578,5323364012,3700264012,1623100000,1592
여주대학교,사립,경기,8410410937,438098700,11548910721,3331752722,1883052722,1448700000,1091
연성대학교,사립,경기,17429796259,1454204500,23236174920,4821225758,2904960368,1916265390,1644
연세대학교,사립,서울,47776857337,14509817368,97485820452,75307027162,59192880206,16114146956,13963
연암공과대학교,사립,경남,3233148868,327810000,4427791532,597181170,200914490,396266680,247
연암대학교,사립,충남,4499365708,224234300,5507073675,940261774,482811774,457450000,336
영남대학교,사립,경북,61109158741,4203336300,86583959963,19827759555,11552106208,8275653347,6155
영남신학대학교,사립,경북,1462872302,150638000,1815807630,797474600,429524600,367950000,219
영남외국어대학,사립,경북,824686660,12360000,2353022660,99570000,42320000,57250000,48
영남이공대학교,사립,대구,19756351142,0,26034798030,3803655748,1597017503,2206638245,1508
영진사이버대학교,사립,대구,6483709400,46757700,7460586050,972326380,154509700,817816680,458
영진전문대학교,사립,대구,25234564742,235784500,31697863380,4682098340,1839915000,2842183340,1843
